1,Unnamed: 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Unnamed: 70,Undeclared,-,5.8,3.6,3.0,3.8,5.4,8.5,5.2,1.1,4.7,0.5,-,5.4,-,1.9,2.6,5.4,3.0,4.6,-,-,2.9,3.9,4.5,2.1,3.5,1.8,7.6,5.2,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Unnamed: 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2014/15,TOTAL STUDENTS,-,"23,675","27,240","304,040","7,169","8,743","10,193","8,012","132,888","8,188","11,338",-,"19,064",-,"9,034","7,231","17,052","8,158","9,494",-,-,"59,945","63,710","6,143","20,993","7,217","10,724","10,743","7,890","18,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Unnamed: 73,Business/ Mgmt.,-,12.1,15.0,26.5,20.2,26.1,26.3,22.4,10.7,28.8,4.6,-,19.1,-,12.8,21.5,17.0,14.3,14.1,-,-,16.5,16.7,23.4,21.2,21.3,13.6,17.8,25.9,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Unnamed: 74,Education,-,1.2,4.9,1.7,2.4,0.8,2.0,1.2,0.4,2.0,1.1,-,2.4,-,0.6,1.5,2.4,0.6,1.7,-,-,3.2,3.0,1.9,3.1,1.7,4.2,3.6,1.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Unnamed: 75,Engineering*,-,16.5,8.3,19.7,14.4,13.8,8.0,8.3,37.5,16.7,54.8,-,4.1,-,44.9,29.1,14.5,20.1,22.5,-,-,23.9,13.0,16.0,16.0,16.1,25.3,5.0,17.7,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Unnamed: 76,Fine/ Applied Arts,-,6.4,7.8,5.6,7.9,5.8,3.6,10.2,1.4,9.0,5.0,-,6.0,-,1.8,4.3,6.1,1.3,2.1,-,-,1.9,11.9,6.1,12.6,9.5,6.1,6.4,7.1,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Unnamed: 77,Health Professions*,-,2.2,15.7,1.4,2.2,1.5,1.9,2.4,3.6,3.1,1.8,-,2.3,-,1.8,3.4,2.9,6.8,12.9,-,-,6.1,4.7,2.9,4.1,4.0,1.0,4.0,3.7,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Unnamed: 78,Humanities,-,2.0,3.8,0.9,4.3,5.3,6.2,2.0,0.4,1.4,1.1,-,5.3,-,0.6,1.1,3.0,0.8,2.0,-,-,1.3,4.3,11.3,1.9,1.3,2.4,6.9,1.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Unnamed: 79,Intensive English,-,12.5,0.1,2.8,6.9,1.8,0.5,1.6,0.2,0.6,0.4,-,15.0,-,23.4,0.3,12.6,0.4,0.5,-,-,22.5,3.0,1.8,3.8,3.3,4.3,0.1,8.5,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Unnamed: 80,Math/ Computer Science*,-,2.9,3.2,12.4,3.6,3.8,3.5,6.2,31.4,5.2,10.5,-,2.7,-,1.1,5.1,3.3,18.3,8.7,-,-,8.1,5.6,3.3,6.7,6.6,10.3,3.0,4.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Unnamed: 81,Physical/ Life Sciences*,-,8.6,10.2,8.9,9.5,5.9,7.5,7.2,7.9,7.2,12.1,-,4.9,-,3.0,10.6,6.5,23.3,12.2,-,-,4.4,7.7,5.2,11.6,10.7,8.9,7.5,5.0,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Unnamed: 82,Social Sciences,-,5.0,12.1,7.8,10.8,8.4,14.2,16.1,2.4,9.0,4.0,-,10.9,-,2.9,11.2,7.7,5.6,7.7,-,-,2.9,11.9,7.9,6.5,7.3,13.8,16.6,6.8,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
